Time of the generation of the data point., Instantaneous throughput (b/s)., ID of connection (position relative to creation)., Direction of throughput., 
11-16-2022-18-52-39.845,1.6037008234683792e+06, 2, Download, 
11-16-2022-18-52-39.845,1.145428674789818e+06, 3, Download, 
11-16-2022-18-52-39.845,1.7999285260689077e+06, 4, Download, 
11-16-2022-18-52-39.845,1.0963357924387453e+06, 5, Download, 
11-16-2022-18-52-39.845,327285.8823404856, 6, Download, 
11-16-2022-18-52-39.845,670720.318592351, 7, Download, 
11-16-2022-18-52-39.845,899820.4362306909, 8, Download, 
11-16-2022-18-52-39.845,867523.328407931, 9, Download, 
11-16-2022-18-52-39.845,1.521735526079495e+06, 10, Download, 
11-16-2022-18-52-39.845,1.7851431306420807e+07, 11, Download, 
11-16-2022-18-52-39.845,998221.9411384809, 12, Download, 
11-16-2022-18-52-39.845,932764.7646703839, 13, Download, 
11-16-2022-18-52-39.845,703664.6470320439, 0, Upload, 
11-16-2022-18-52-39.845,540021.7058618012, 1, Upload, 
11-16-2022-18-52-39.845,49092.88235107283, 2, Upload, 
11-16-2022-18-52-39.845,49056.05616535181, 3, Upload, 
11-16-2022-18-52-39.845,1.1773453479684433e+06, 4, Upload, 
11-16-2022-18-52-39.845,441504.5054881663, 5, Upload, 
11-16-2022-18-52-39.845,572320.6552624378, 6, Upload, 
11-16-2022-18-52-39.845,98112.11233070362, 7, Upload, 
11-16-2022-18-52-39.845,1.030177179472388e+06, 8, Upload, 
11-16-2022-18-52-39.845,1.5207377411259061e+06, 9, Upload, 
11-16-2022-18-52-39.845,1.1609933292466595e+06, 10, Upload, 
11-16-2022-18-52-39.845,1.4553296662387704e+06, 11, Upload, 
11-16-2022-18-52-39.845,98112.11233070362, 12, Upload, 
11-16-2022-18-52-39.845,65408.07488713574, 13, Upload, 
11-16-2022-18-52-40.847,637563.5417296521, 0, Upload, 
11-16-2022-18-52-40.847,359609.3550231505, 1, Upload, 
11-16-2022-18-52-40.847,0, 2, Upload, 
11-16-2022-18-52-40.847,147223.31355292958, 3, Upload, 
11-16-2022-18-52-40.847,1.0632794867711582e+06, 4, Upload, 
11-16-2022-18-52-40.847,736116.567764648, 5, Upload, 
11-16-2022-18-52-40.847,588893.2542117183, 6, Upload, 
11-16-2022-18-52-40.847,0, 7, Upload, 
11-16-2022-18-52-40.847,670683.983963346, 8, Upload, 
11-16-2022-18-52-40.847,670683.983963346, 9, Upload, 
11-16-2022-18-52-40.847,441669.9406587888, 10, Upload, 
11-16-2022-18-52-40.847,1.0959957786718092e+06, 11, Upload, 
11-16-2022-18-52-40.847,196297.75140390612, 12, Upload, 
11-16-2022-18-52-40.847,0, 13, Upload, 
11-16-2022-18-52-40.847,572535.1082613929, 14, Upload, 
11-16-2022-18-52-40.847,2.2833254567024242e+07, 0, Download, 
11-16-2022-18-52-40.847,6.439845635992302e+06, 1, Download, 
11-16-2022-18-52-40.847,1.814177157451108e+06, 2, Download, 
11-16-2022-18-52-40.847,1.111447992137536e+06, 3, Download, 
11-16-2022-18-52-40.847,1.471129179640161e+06, 4, Download, 
11-16-2022-18-52-40.847,833639.8684627579, 5, Download, 
11-16-2022-18-52-40.847,277808.12367477803, 6, Download, 
11-16-2022-18-52-40.847,604725.7191503694, 7, Download, 
11-16-2022-18-52-40.847,604797.551629844, 8, Download, 
11-16-2022-18-52-40.847,7.126013424093671e+06, 9, Download, 
11-16-2022-18-52-40.847,1.1604137989794e+06, 10, Download, 
11-16-2022-18-52-40.847,1.3222954747233976e+07, 11, Download, 
