Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-28-2022-14-52-31.752,196570.47469638046, 18, Upload, 
11-28-2022-14-52-31.752,327617.45782730076, 19, Upload, 
11-28-2022-14-52-31.752,982852.3734819023, 20, Upload, 
11-28-2022-14-52-31.752,98285.23734819023, 21, Upload, 
11-28-2022-14-52-31.752,327617.45782730076, 22, Upload, 
11-28-2022-14-52-31.752,458664.4409582211, 23, Upload, 
11-28-2022-14-52-31.752,98285.23734819023, 24, Upload, 
11-28-2022-14-52-31.752,245653.63197735383, 25, Upload, 
11-28-2022-14-52-31.752,98261.45279094153, 26, Upload, 
11-28-2022-14-52-31.752,49130.72639547077, 27, Upload, 
11-28-2022-14-52-31.752,0, 28, Upload, 
11-28-2022-14-52-31.752,0, 29, Upload, 
11-28-2022-14-52-31.752,393045.81116376613, 30, Upload, 
11-28-2022-14-52-31.752,736960.8959320615, 31, Upload, 
11-28-2022-14-52-31.752,409422.7199622564, 32, Upload, 
11-28-2022-14-52-31.752,147392.1791864123, 33, Upload, 
11-28-2022-14-52-31.752,1.0153683455063958e+06, 34, Upload, 
11-28-2022-14-52-31.752,311161.26717131486, 35, Upload, 
11-28-2022-14-52-31.752,245653.63197735383, 36, Upload, 
11-28-2022-14-52-31.752,311161.26717131486, 37, Upload, 
11-28-2022-14-52-31.752,622322.5343426297, 38, Upload, 
11-28-2022-14-52-31.752,0, 39, Upload, 
11-28-2022-14-52-31.752,1.5224144767557126e+06, 0, Download, 
11-28-2022-14-52-31.752,1.4079517910476397e+06, 1, Download, 
11-28-2022-14-52-31.752,1.4730848866454703e+06, 2, Download, 
11-28-2022-14-52-31.752,671032.8412187392, 3, Download, 
11-28-2022-14-52-31.752,1.6856584103641284e+06, 4, Download, 
11-28-2022-14-52-31.752,1.7349075006056733e+06, 5, Download, 
11-28-2022-14-52-31.752,818420.4545170725, 6, Download, 
11-28-2022-14-52-31.752,2.569552501242567e+06, 7, Download, 
11-28-2022-14-52-31.752,2.422308750914754e+06, 8, Download, 
11-28-2022-14-52-31.752,605631.1363426337, 9, Download, 
11-28-2022-14-52-31.752,2.3894280697635505e+06, 10, Download, 
11-28-2022-14-52-31.752,1.947696818780112e+06, 11, Download, 
11-28-2022-14-52-31.752,1.4076831817693647e+06, 12, Download, 
11-28-2022-14-52-31.752,1.3421376139227387e+06, 13, Download, 
11-28-2022-14-52-31.752,1.5547111376413966e+06, 14, Download, 
11-28-2022-14-52-31.752,2.9624662508960217e+06, 15, Download, 
11-28-2022-14-52-31.752,1.6529935236687057e+06, 16, Download, 
11-28-2022-14-52-31.752,425578.63634887774, 17, Download, 
11-28-2022-14-52-31.752,1.3591889086666633e+06, 18, Download, 
11-28-2022-14-52-31.752,2.3908620435457313e+06, 19, Download, 
11-28-2022-14-52-31.752,2.2925513252761555e+06, 20, Download, 
11-28-2022-14-52-31.752,1.4574729142281394e+06, 21, Download, 
11-28-2022-14-52-31.752,1.3920372478716718e+06, 22, Download, 
11-28-2022-14-52-31.752,1.5066756094611036e+06, 23, Download, 
11-28-2022-14-52-31.752,2.1779849325242173e+06, 24, Download, 
11-28-2022-14-52-31.752,1.1300067070958277e+06, 25, Download, 
11-28-2022-14-52-31.752,1.3592114614371979e+06, 26, Download, 
11-28-2022-14-52-31.752,2.0307366910127916e+06, 27, Download, 
11-28-2022-14-52-31.752,1.6375469421740388e+06, 28, Download, 
11-28-2022-14-52-31.752,1.752041366088484e+06, 29, Download, 
11-28-2022-14-52-31.752,3.390020121287483e+06, 30, Download, 
11-28-2022-14-52-31.752,1.9158104540733865e+06, 31, Download, 
11-28-2022-14-52-31.752,1.7031265462054932e+06, 32, Download, 
11-28-2022-14-52-31.752,622322.5343426297, 33, Download, 
11-28-2022-14-52-31.752,1.817764907794925e+06, 34, Download, 
11-28-2022-14-52-31.752,2.0797234797332757e+06, 35, Download, 
11-28-2022-14-52-31.752,1.9978389357408243e+06, 36, Download, 
11-28-2022-14-52-31.752,2.047113599811282e+06, 37, Download, 
11-28-2022-14-52-31.752,1.8013879989964347e+06, 38, Download, 
11-28-2022-14-52-31.752,1.4082702189951753e+06, 39, Download, 
