Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-28-2022-16-08-49.639,49085.65582758344, 10, Upload, 
11-28-2022-16-08-49.639,65447.541103444586, 11, Upload, 
11-28-2022-16-08-49.639,916265.5754482242, 12, Upload, 
11-28-2022-16-08-49.639,736284.8374137515, 13, Upload, 
11-28-2022-16-08-49.639,703561.0668620293, 14, Upload, 
11-28-2022-16-08-49.639,654475.4110344459, 15, Upload, 
11-28-2022-16-08-49.639,0, 16, Upload, 
11-28-2022-16-08-50.640,818323.4937058915, 0, Upload, 
11-28-2022-16-08-50.640,98198.81924470699, 1, Upload, 
11-28-2022-16-08-50.640,801957.0238317737, 2, Upload, 
11-28-2022-16-08-50.640,556459.9757200063, 3, Upload, 
11-28-2022-16-08-50.640,0, 4, Upload, 
11-28-2022-16-08-50.640,458261.15647529927, 5, Upload, 
11-28-2022-16-08-50.640,621925.8552164775, 6, Upload, 
11-28-2022-16-08-50.640,0, 7, Upload, 
11-28-2022-16-08-50.640,834689.9635800094, 8, Upload, 
11-28-2022-16-08-50.640,147298.22886706048, 9, Upload, 
11-28-2022-16-08-50.640,851056.4334541272, 10, Upload, 
11-28-2022-16-08-50.640,458261.15647529927, 11, Upload, 
11-28-2022-16-08-50.640,720124.6744611845, 12, Upload, 
11-28-2022-16-08-50.640,261863.5179858853, 13, Upload, 
11-28-2022-16-08-50.640,507360.5660976528, 14, Upload, 
11-28-2022-16-08-50.640,490994.0962235349, 15, Upload, 
11-28-2022-16-08-50.640,900155.8430764807, 16, Upload, 
11-28-2022-16-08-50.640,785590.5539576559, 17, Upload, 
11-28-2022-16-08-50.640,1.1832166566390738e+07, 0, Download, 
11-28-2022-16-08-50.640,1.0473821489802272e+06, 1, Download, 
11-28-2022-16-08-50.640,2.1766685702943574e+06, 2, Download, 
11-28-2022-16-08-50.640,670953.341875517, 3, Download, 
11-28-2022-16-08-50.640,245497.04811176745, 4, Download, 
11-28-2022-16-08-50.640,458261.15647529927, 5, Download, 
11-28-2022-16-08-50.640,932888.7828247163, 6, Download, 
11-28-2022-16-08-50.640,2.3729727089314632e+07, 7, Download, 
11-28-2022-16-08-50.640,3.469475844423038e+06, 8, Download, 
11-28-2022-16-08-50.640,212764.1083635318, 9, Download, 
11-28-2022-16-08-50.640,1.8492672498486869e+06, 10, Download, 
11-28-2022-16-08-50.640,327329.39748235664, 11, Download, 
11-28-2022-16-08-50.640,1.342050529677662e+06, 12, Download, 
11-28-2022-16-08-50.640,1.6954512022173047e+07, 13, Download, 
11-28-2022-16-08-50.640,409161.74685294577, 14, Download, 
11-28-2022-16-08-50.640,3.371277025178331e+06, 15, Download, 
11-28-2022-16-08-50.640,1.9802709318049436e+06, 16, Download, 
11-28-2022-16-08-50.640,1.6202085945743513e+06, 17, Download, 
11-28-2022-16-08-51.642,736226.7540057194, 0, Upload, 
11-28-2022-16-08-51.642,212687.72893498561, 1, Upload, 
11-28-2022-16-08-51.642,687144.9704053382, 2, Upload, 
11-28-2022-16-08-51.642,883472.1048068634, 3, Upload, 
11-28-2022-16-08-51.642,278130.1070688274, 4, Upload, 
11-28-2022-16-08-51.642,752587.3485391799, 5, Upload, 
11-28-2022-16-08-51.642,997996.2665410864, 6, Upload, 
11-28-2022-16-08-51.642,0, 7, Upload, 
11-28-2022-16-08-51.642,1.407011129877597e+06, 8, Upload, 
11-28-2022-16-08-51.642,196327.1344015252, 9, Upload, 
11-28-2022-16-08-51.642,1.2761263736099137e+06, 10, Upload, 
