Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-41-27.627,1.7473909662483593e+06, 15, Download, 
11-26-2022-11-41-27.627,2.972370105043183e+06, 16, Download, 
11-26-2022-11-41-27.627,555291.3396517207, 17, Download, 
11-26-2022-11-41-27.627,1.52694352616819e+07, 18, Download, 
11-26-2022-11-41-27.627,440823.10824431037, 19, Download, 
11-26-2022-11-41-27.627,800272.8130274799, 0, Upload, 
11-26-2022-11-41-27.627,783940.7148024293, 1, Upload, 
11-26-2022-11-41-27.627,1.1922431704286945e+06, 2, Upload, 
11-26-2022-11-41-27.627,734944.4201272775, 3, Upload, 
11-26-2022-11-41-27.627,48996.29467515183, 4, Upload, 
11-26-2022-11-41-27.627,1.1922431704286945e+06, 5, Upload, 
11-26-2022-11-41-27.627,1.1922431704286945e+06, 6, Upload, 
11-26-2022-11-41-27.627,146988.88402545548, 7, Upload, 
11-26-2022-11-41-27.627,326641.96450101223, 8, Upload, 
11-26-2022-11-41-27.627,0, 9, Upload, 
11-26-2022-11-41-27.627,0, 10, Upload, 
11-26-2022-11-41-27.627,0, 11, Upload, 
11-26-2022-11-41-27.627,48996.29467515183, 12, Upload, 
11-26-2022-11-41-27.627,963593.795277986, 13, Upload, 
11-26-2022-11-41-27.627,767608.6165773787, 14, Upload, 
11-26-2022-11-41-27.627,506295.04497656896, 15, Upload, 
11-26-2022-11-41-27.627,1.0942505810783908e+06, 16, Upload, 
11-26-2022-11-41-27.627,979925.8935030366, 17, Upload, 
11-26-2022-11-41-27.627,587955.5361018219, 18, Upload, 
11-26-2022-11-41-27.627,702280.2236771763, 19, Upload, 
11-26-2022-11-41-28.628,3.1602191347308396e+06, 0, Download, 
11-26-2022-11-41-28.628,1.8173302894178361e+06, 1, Download, 
11-26-2022-11-41-28.628,1.719080660762334e+06, 2, Download, 
11-26-2022-11-41-28.628,1.3589039825360645e+06, 3, Download, 
11-26-2022-11-41-28.628,7.85939461102226e+06, 4, Download, 
11-26-2022-11-41-28.628,4.273571005805387e+06, 5, Download, 
11-26-2022-11-41-28.628,2.881773226696346e+06, 6, Download, 
11-26-2022-11-41-28.628,2.2595975387220713e+06, 7, Download, 
11-26-2022-11-41-28.628,6.893417182930966e+06, 8, Download, 
11-26-2022-11-41-28.628,3.209343949058591e+06, 9, Download, 
11-26-2022-11-41-28.628,2.636149155057591e+06, 10, Download, 
11-26-2022-11-41-28.628,965977.4280912942, 11, Download, 
11-26-2022-11-41-28.628,1.6701717269662968e+06, 12, Download, 
11-26-2022-11-41-28.628,1.9484017544690766e+06, 13, Download, 
11-26-2022-11-41-28.628,2.2760444370085592e+06, 14, Download, 
11-26-2022-11-41-28.628,1.5554752000243065e+06, 15, Download, 
11-26-2022-11-41-28.628,2.4887027518971e+06, 16, Download, 
11-26-2022-11-41-28.628,491248.1432775102, 17, Download, 
11-26-2022-11-41-28.628,1.496568598937348e+07, 18, Download, 
11-26-2022-11-41-28.628,704122.3386977647, 19, Download, 
11-26-2022-11-41-28.628,801967.5984775706, 0, Upload, 
11-26-2022-11-41-28.628,1.1129346264586695e+06, 1, Upload, 
11-26-2022-11-41-28.628,1.0474678837258065e+06, 2, Upload, 
11-26-2022-11-41-28.628,327333.71366431453, 3, Upload, 
11-26-2022-11-41-28.628,147300.17114894153, 4, Upload, 
11-26-2022-11-41-28.628,965634.4553097279, 5, Upload, 
11-26-2022-11-41-28.628,867434.3412104335, 6, Upload, 
11-26-2022-11-41-28.628,49100.05704964718, 7, Upload, 
11-26-2022-11-41-28.628,409167.14208039315, 8, Upload, 
11-26-2022-11-41-28.628,392800.4563971774, 9, Upload, 
11-26-2022-11-41-28.628,0, 10, Upload, 
11-26-2022-11-41-28.628,0, 11, Upload, 
11-26-2022-11-41-28.628,0, 12, Upload, 
11-26-2022-11-41-28.628,949267.7696265122, 13, Upload, 
11-26-2022-11-41-28.628,965634.4553097279, 14, Upload, 
11-26-2022-11-41-28.628,556467.3132293348, 15, Upload, 
11-26-2022-11-41-28.628,654667.4273286291, 16, Upload, 
11-26-2022-11-41-28.628,1.0311011980425908e+06, 17, Upload, 
11-26-2022-11-41-28.628,458267.19913004036, 18, Upload, 
11-26-2022-11-41-28.628,1.129301312141885e+06, 19, Upload, 
11-26-2022-11-41-29.628,3.6353012120569386e+06, 0, Download, 
11-26-2022-11-41-29.628,2.0143128690378582e+06, 1, Download, 
11-26-2022-11-41-29.628,2.1288765936103356e+06, 2, Download, 
11-26-2022-11-41-29.628,1.850475627970957e+06, 3, Download, 
11-26-2022-11-41-29.628,8.547971560576908e+06, 4, Download, 
11-26-2022-11-41-29.628,6.0998246500122e+06, 5, Download, 
11-26-2022-11-41-29.628,4.093843978992386e+06, 6, Download, 
11-26-2022-11-41-29.628,2.2925699003544683e+06, 7, Download, 
11-26-2022-11-41-29.628,8.073268167735063e+06, 8, Download, 
