Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-30-44.313,1.1454451009220749e+06, 9, Upload, 
11-26-2022-11-30-44.313,65454.00576697571, 10, Upload, 
11-26-2022-11-30-44.313,539995.5475775496, 11, Upload, 
11-26-2022-11-30-44.313,1.0145370893881235e+06, 12, Upload, 
11-26-2022-11-30-44.313,114544.51009220749, 13, Upload, 
11-26-2022-11-30-44.313,441814.53892708605, 14, Upload, 
11-26-2022-11-30-44.313,1.294259481147966e+07, 0, Download, 
11-26-2022-11-30-44.313,1.263176019400497e+07, 1, Download, 
11-26-2022-11-30-44.313,5.62846921661235e+06, 2, Download, 
11-26-2022-11-30-44.313,4.777710961478556e+06, 3, Download, 
11-26-2022-11-30-44.313,2.1268956378344847e+06, 4, Download, 
11-26-2022-11-30-44.313,3.125356865454645e+06, 5, Download, 
11-26-2022-11-30-44.313,1.0472640922716113e+06, 6, Download, 
11-26-2022-11-30-44.313,7.575653978261432e+06, 7, Download, 
11-26-2022-11-30-44.313,5.039670804383349e+06, 8, Download, 
11-26-2022-11-30-44.313,2.994305034083803e+06, 9, Download, 
11-26-2022-11-30-44.313,1.0467607228424952e+06, 10, Download, 
11-26-2022-11-30-44.313,4.696037274106727e+06, 11, Download, 
11-26-2022-11-30-44.313,1.1779563740502272e+06, 12, Download, 
11-26-2022-11-30-44.313,3.0924860427342667e+06, 13, Download, 
11-26-2022-11-30-44.313,2.3399087962509366e+06, 14, Download, 
11-26-2022-11-30-45.315,915851.7119265134, 0, Upload, 
11-26-2022-11-30-45.315,1.0793966604848194e+06, 1, Upload, 
11-26-2022-11-30-45.315,752306.7633682074, 2, Upload, 
11-26-2022-11-30-45.315,278026.41254912014, 3, Upload, 
11-26-2022-11-30-45.315,850433.732503191, 4, Upload, 
11-26-2022-11-30-45.315,801370.2479356992, 5, Upload, 
11-26-2022-11-30-45.315,850433.732503191, 6, Upload, 
11-26-2022-11-30-45.315,359798.8868282731, 7, Upload, 
11-26-2022-11-30-45.315,932206.206782344, 8, Upload, 
11-26-2022-11-30-45.315,605116.3096657321, 9, Upload, 
11-26-2022-11-30-45.315,637825.2993773932, 10, Upload, 
11-26-2022-11-30-45.315,1.013978681061497e+06, 11, Upload, 
11-26-2022-11-30-45.315,441571.3611074261, 12, Upload, 
11-26-2022-11-30-45.315,964915.1964940052, 13, Upload, 
